id,name,date,RFC,IMMEX,SIC,qnty
"0171eda5-6d71-11ea-b799-00113210ce89","H.B.C. De Mexico, S.A de C.V.","2020-03-23 18:44:31","0","1","1","25"
"018e73df-6d78-11ea-b799-00113210ce89","Multiarc, SA de CV","2020-03-23 19:34:37","0","1","1","25"
"03b95757-6d77-11ea-b799-00113210ce89","DUANG CHUEL DE MEXICO S.A DE C.V.","2020-03-23 19:27:31","0","1","1","25"
"055d5757-6d6d-11ea-b799-00113210ce89","Klingspor Abrasivos","2020-03-23 18:15:59","0","1","1","25"
"08d8ab52-c21e-11ea-ad1f-0287cad9c58d","Despacho Rodriguez Gonzalez Checa y Asociados","2020-07-09 12:54:27","0","0","1","14"
"100f50fc-0e37-e52b-aac8-444ec03033ab","FINDLAY INDUSTRIES DE MEXICO, S.A.","2006-04-26 00:34:26","0","1","1","14"
"10197647-e1c3-bd52-8515-4e6699b14fa2","Sistemas Medicos Alaris, S.A. De C.V. (Care Fusion)","2011-09-06 22:05:38","0","1","1","10"
"104e07d3-bed0-a643-027f-5410999d8db4","CLOSETMAID REYNOSA, S. DE R.L. DE C.V.","2014-09-10 18:35:00","0","1","1","17"
"1061ac23-bfa6-17b5-978d-44b833146045","Ikegami Mold de Mexico, S.A de C.V.","2006-07-15 00:13:12","0","1","1","17"
"107791f0-a96b-1524-13e0-5387ac9d5a02","JYPESA","2014-05-29 21:55:37","0","1","1","18"
"10e42e9a-f60e-138a-df2c-46b34e2a4301","OMEGA AFA CONSULTORES","2007-08-03 15:48:27","0","1","1","16"
"10f743ac-5017-cc2e-9f4f-597f9fb5aabe","Electronica Lowrence de Mexico S.A de C.V.","2017-07-31 21:22:17","0","1","1","20"
"110da08f-c707-6bad-e3cc-4b7f20bd55d2","Inter Fashion Group, S.A. de C.V.","2010-02-19 23:38:39","0","1","1","10"
"111b1cdd-679a-bc05-1729-4c054c85bfcb","Diaco Internacional, S.A. de C.V.","2010-06-01 18:09:33","0","1","1","9"
"111f8426-e538-8c92-2510-4a524ec5c966","Tapicerias Pacifico, S.A. de C.V.","2009-07-06 19:20:04","0","1","1","10"
"11264bd9-c251-14e9-4525-4e1e07846213","Recharge Fashion, S. de R.L. de C.V.","2011-07-13 21:01:20","0","1","1","12"
"1126887a-3554-616a-28d1-44a98f922775","Complejo Manufacturero de Baja, S de RL de CV","2006-07-03 21:44:13","0","1","1","11"
